Genre,Rating,UserRating,motion_image_high,motion_image_low,blink_rate,lean_forward,lean_backward,head_rotation,eye_rotation,Happiness_Avg,Happiness_Std,Happiness_25P,Happiness_75P,Happiness_Peaks,Happiness_0,Happiness_20,Happiness_40,Happiness_60,Happiness_80,Sadness_Avg,Sadness_Std,Sadness_25P,Sadness_75P,Sadness_Peaks,Sadness_0,Sadness_20,Sadness_40,Sadness_60,Sadness_80,Surprise_Avg,Surprise_Std,Surprise_25P,Surprise_75P,Surprise_Peaks,Surprise_0,Surprise_20,Surprise_40,Surprise_60,Surprise_80,Fear_Avg,Fear_Std,Fear_25P,Fear_75P,Fear_Peaks,Fear_0,Fear_20,Fear_40,Fear_60,Fear_80,Anger_Avg,Anger_Std,Anger_25P,Anger_75P,Anger_Peaks,Anger_0,Anger_20,Anger_40,Anger_60,Anger_80,Disgust_Avg,Disgust_Std,Disgust_25P,Disgust_75P,Disgust_Peaks,Disgust_0,Disgust_20,Disgust_40,Disgust_60,Disgust_80,Contempt_Avg,Contempt_Std,Contempt_25P,Contempt_75P,Contempt_Peaks,Contempt_0,Contempt_20,Contempt_40,Contempt_60,Contempt_80,Blink_Avg,Blink_Std,Blink_25P,Blink_75P,Blink_Peaks,Blink_0,Blink_20,Blink_40,Blink_60,Blink_80,HeadPose_X_Avg,HeadPose_X_Std,HeadPose_X_25P,HeadPose_X_75P,HeadPose_X_Peaks,HeadPose_X_0,HeadPose_X_20,HeadPose_X_40,HeadPose_X_60,HeadPose_X_80,HeadRotation_X_Avg,HeadRotation_X_Std,HeadRotation_X_25P,HeadRotation_X_75P,HeadRotation_X_Peaks,HeadRotation_X_0,HeadRotation_X_20,HeadRotation_X_40,HeadRotation_X_60,HeadRotation_X_80,EyeAngel_X_Avg,EyeAngel_X_Std,EyeAngel_X_25P,EyeAngel_X_75P,EyeAngel_X_Peaks,EyeAngel_X_0,EyeAngel_X_20,EyeAngel_X_40,EyeAngel_X_60,EyeAngel_X_80,Motion_image_Avg,Motion_image_Std,Motion_image_25P,Motion_image_75P,Motion_image_Peaks,Motion_image_0,Motion_image_20,Motion_image_40,Motion_image_60,Motion_image_80
Comedy,77,50,0.14435229067930488,0.2166271721958926,23.362831858407077,0.271779744346116,0.18780727630285152,0.1223205506391347,0.004129793510324484,0.28256047197639733,0.4636433520267657,0.03,0.37,0.028121927236971486,0.7802062868369352,0.25353634577603146,0.13723968565815325,0.14195481335952848,0.09778978388998034,2.1842517207473,0.7567204902949495,1.72,2.49,0.029695181907571287,1.5411296660117877,2.134115913555992,2.295844793713163,2.6938899803536347,2.2363064833005892,0.9017738446411057,1.398967740714441,0.13,0.9600000000000002,0.028908554572271386,0.7408349705304518,0.608909626719057,1.1660216110019648,1.4066208251473478,0.5795874263261297,2.7918800393313647,1.384970610880384,1.98,2.97,0.028515240904621434,2.5568565815324167,2.444823182711198,2.958703339882122,3.4975933202357568,2.475825147347741,1.9282635201573293,0.4845388779543,1.61,2.14,0.028121927236971486,1.7694106090373283,1.8804518664047152,2.0168172888015716,2.081846758349705,1.875049115913556,0.5563716814159285,0.46787358956745556,0.19,0.8400000000000001,0.029498525073746312,0.467819253438114,0.41371316306483297,0.3970432220039293,0.7143123772102161,0.7847151277013753,0.36385447394296533,0.6056447449642571,0.02,0.41,0.028515240904621434,1.061247544204322,0.3741748526522593,0.13996070726915522,0.14276031434184674,0.09828094302554027,0.2591465093411986,0.5147691835406261,0.0,0.26,0.022222222222222223,0.2916404715127701,0.3380157170923379,0.13839882121807465,0.17581532416502949,0.34958742632612966,9.274513274336345,11.196219268521084,3.7,12.3,0.018289085545722714,6.32721021611002,21.741846758349702,9.923870333988212,2.0798624754420434,6.219155206286837,-0.07197404129793519,0.08446860618858372,-0.108,-0.016,0.019862340216322518,-0.044134577603143425,-0.040140471512770136,-0.05351768172888016,-0.09131630648330058,-0.13011787819253443,0.0016300884955752204,0.04320323951846521,-0.022,0.025,0.029301868239921338,0.006944007858546169,-0.005414538310412573,-0.006166994106090374,0.006804518664047153,0.005933202357563851,730407.346577498,47529.64383627452,734973.25,745253.0,0.023013375295043274,737258.4267453294,735414.6991150442,697144.2753195673,740457.0914454277,738294.3765978367
Cartoon,89,100,0.4220383275261324,0.3948170731707317,22.631693041404727,0.10773899848254932,0.11294168653804465,0.16648601777585087,0.0,0.49090396704964073,0.804188181913401,0.07,0.47,0.02102753089096033,0.10786565547128928,0.8130444203683641,0.573726977248104,0.6062080173347779,0.34306608884073675,1.0144591372209,0.47663376210699043,0.72,1.18,0.029265120312161285,0.9495991332611051,0.8526110509209102,1.1086565547128926,0.8973131094257855,1.2595449620801733,0.7547409494905677,0.9624072944433655,0.19,0.93,0.029481898981140255,0.6201083423618634,0.45871072589382444,0.6294149512459372,0.6120260021668473,1.4497291440953415,1.6539605462822418,1.3373284345645724,0.8500000000000001,1.9,0.02904834164318231,1.2244962080173347,1.0621993499458289,1.4447237269772482,1.631895991332611,2.8979306608884072,0.9622696726642098,0.5565874012588425,0.67,1.01,0.02904834164318231,0.6625893824485373,0.7446045503791983,0.8465113759479956,0.8972914409534128,1.655070422535211,0.664107955777154,0.5983564969562044,0.22,0.92,0.027530890960329502,0.33959913326110513,0.9128710725893825,1.0204117009750813,0.5979848320693392,0.4433694474539545,0.6389052677216562,0.8844030836167999,0.09,0.74,0.02037719488402341,0.12992416034669557,0.9831852654387866,0.704474539544962,0.7321776814734561,0.6338353196099674,0.2232863646217195,0.386398289405615,0.0,0.3,0.024062432256665944,0.29690140845070423,0.303477789815818,0.27821235102925246,0.13702058504875406,0.09887323943661973,-0.2507262085410809,6.025249525503466,-2.4,2.4,0.019726858877086494,-3.3009750812567717,0.27172264355362946,0.5433369447453953,1.6421451787648973,-0.41235102925243766,-0.09973227834381095,0.0913311293441847,-0.158,-0.032,0.02102753089096033,-0.06879848320693391,-0.15141170097508128,-0.16525893824485374,-0.0496273022751896,-0.06290032502708559,0.02071623672230661,0.038511280473853375,-0.005,0.045,0.03078257099501409,0.026393282773564463,0.03431635969664139,0.02346695557963164,-0.001486457204767064,0.020757313109425787,45215.19557675629,41108.81696481039,37338.75,50668.0,0.0186470078057242,39208.90249187432,41055.892741061754,47246.061755146264,48910.03683640304,49305.37919826652
Horror,70,80,0.17048883524441763,0.16807483403741702,19.430284857571213,0.1406296851574213,0.10674662668665667,0.002098950524737631,0.0,0.22802098950524566,0.23717565452845152,0.06,0.31,0.027286356821589204,0.4660029940119761,0.14303892215568864,0.20971556886227546,0.06366766467065868,0.2543562874251497,1.8703058470764615,0.7808627901695548,1.31,2.33,0.03088455772113943,1.720059880239521,1.1892215568862274,2.2802694610778445,2.5122155688622754,1.623562874251497,0.9243298350824626,1.1463562520539188,0.15,1.185,0.027286356821589204,1.1451197604790417,0.9087125748502993,1.588248502994012,0.2386377245508982,0.7252395209580839,2.7091664167916036,1.4040350500992567,1.71,3.4000000000000004,0.027886056971514243,3.478083832335329,2.3397604790419164,3.136841317365269,2.490434131736527,2.0571856287425145,1.9630254872563722,1.0206791340431731,1.21,2.34,0.025787106446776613,2.7529041916167665,1.70564371257485,1.595883233532934,2.334865269461078,1.3948952095808382,0.4673253373313332,0.4097576873351283,0.15,0.66,0.031484257871064465,0.4416616766467065,0.21104790419161676,0.5168862275449101,0.7648203592814372,0.396556886227545,0.39198200899549734,0.6602883336387656,0.07,0.35,0.027586206896551724,1.1477844311377245,0.2715119760479042,0.20985029940119762,0.06380239520958085,0.260688622754491,0.1905187406296844,0.4135575108865124,0.0,0.17,0.025487256371814093,0.11708083832335331,0.15547904191616768,0.2482185628742515,0.10203592814371257,0.32823353293413177,7.85616191904047,6.378806269819105,5.3,10.3,0.014992503748125937,13.83068862275449,3.2827844311377246,8.025,8.298353293413173,5.745209580838323,-0.008983808095951997,0.058821869531868395,-0.039,0.016,0.021289355322338832,0.02414221556886228,0.042079341317365265,-0.044474550898203596,-0.049494011976047914,-0.017181137724550898,0.01629355322338833,0.039198981764632795,-0.008,0.041,0.031484257871064465,0.025212574850299405,0.019214071856287426,0.004055389221556887,0.008100299401197605,0.024781437125748505,115102.30713857229,42896.02723697988,108527.0,115973.0,0.01919616076784643,119411.72563718141,121143.9820089955,111113.17691154423,109628.72113943029,113360.54422788606
Documentry,70,80,0.3395472703062583,0.5230803373280071,18.68787276341948,0.24099845372211176,0.23547603269273248,0.011928429423459244,0.0008835873647006848,0.1150430748840285,0.11894454698974091,0.01,0.18,0.02960017671747294,0.106401766004415,0.16357615894039737,0.10125827814569538,0.0667439293598234,0.1363796909492274,1.8421426993594014,0.7209033489257193,1.3,2.27,0.0291583830351226,1.987019867549669,1.8275386313465785,2.040165562913907,2.3369205298013247,1.0076490066225166,0.6081555113761882,0.6460782296065575,0.21,0.7,0.030041970399823283,0.9366777041942604,0.2692825607064018,0.2976931567328919,0.705551876379691,0.8289955849889625,2.2229003755246266,0.8437092234063385,1.62,2.6849999999999996,0.030925557764523968,2.2456512141280354,2.0039293598234,2.277626931567329,2.8323509933774837,1.7417218543046358,1.6711089021426953,0.8005059206329825,1.05,2.11,0.0276121051468964,1.3257615894039734,1.6606401766004415,1.9881677704194263,2.447792494481236,0.9227704194260485,0.454923790589791,0.49519885548677905,0.08,0.63,0.030704660923348795,0.9521743929359824,0.38083885209713025,0.4350993377483444,0.37271523178807947,0.13154525386313468,0.1232228849127448,0.14678652280243593,0.01,0.18,0.02960017671747294,0.11374172185430462,0.16357615894039737,0.09655629139072848,0.0660485651214128,0.17530905077262696,0.21294455489286268,0.46218148055071984,0.0,0.19,0.027170311464546057,0.5035761589403973,0.11798013245033112,0.08894039735099339,0.1482560706401766,0.20463576158940394,3.5234813342169122,8.198932573548694,-1.0,8.2,0.01656726308813784,-5.6728476821192055,1.4972406181015452,5.447682119205298,5.83962472406181,10.498344370860929,-0.020708857963331172,0.06186000165226257,-0.045,0.018000000000000002,0.025182239893969515,-0.0541832229580574,0.009922737306843269,0.008556291390728478,-0.022550772626931573,-0.04539735099337749,0.015917605478241764,0.04499297403501038,-0.014,0.047,0.02960017671747294,0.042139072847682126,0.012363134657836648,0.012959161147902869,0.01804525386313466,-0.005927152317880795,70973.05589924878,44268.85089080892,59903.5,91988.5,0.017454706142288997,49535.93598233996,62199.67880794702,73125.58167770419,75206.5110375276,94174.2472406181
Adventure,91,100,0.4475215266464976,0.4316965324645101,30.84761463640574,0.23043075497915702,0.29759147753589626,0.11556276053728579,0.0,0.1759240389068996,0.31535958976359246,0.0,0.21,0.024548402037980546,0.14777777777777779,0.22741898148148149,0.22825231481481478,0.13275462962962964,0.14278935185185185,1.6575011579434895,0.851216755399705,1.07,2.2274999999999996,0.027559055118110236,1.6336342592592592,1.5114583333333333,0.9680671296296297,1.9104282407407405,2.252800925925926,0.9376493747105167,1.0458196609822532,0.24,1.3,0.03033811949976841,0.8180555555555555,0.8313194444444444,1.5009027777777777,0.6751157407407407,0.8586226851851853,2.4396943029180176,1.360051743527772,1.54,2.8600000000000003,0.028022232515053265,2.5027893518518516,2.1902777777777778,2.4927546296296295,2.273321759259259,2.725416666666667,1.653619731357108,0.9464407219751529,1.01,2.06,0.02616952292728115,1.9536805555555556,1.3537731481481483,1.1051967592592593,2.038553240740741,1.8062615740740742,0.75722556739231,0.8314230821367037,0.21,1.02,0.029180176007410838,0.3947916666666667,0.7023495370370371,0.7527546296296296,0.9058680555555556,1.0249537037037035,0.2816628068550243,0.4675782141955156,0.01,0.26,0.02616952292728115,0.537986111111111,0.29881944444444447,0.30193287037037037,0.09753472222222223,0.17120370370370372,0.30554191755442217,0.552874452544459,0.0,0.37,0.02269569245020843,0.5077199074074075,0.2786226851851852,0.2144097222222222,0.12680555555555556,0.3983217592592592,14.439462714219571,9.068834846578623,10.1,20.4,0.015979620194534506,10.210185185185184,18.643055555555552,14.493055555555555,16.71481481481481,12.03287037037037,-0.06832792959703575,0.12021831894238522,-0.125,-0.004,0.020842982862436313,-0.13280902777777778,-0.0640150462962963,0.013486111111111112,-0.049737268518518514,-0.10805208333333333,-0.007241778601204268,0.040602331941381596,-0.031,0.02,0.03242241778601204,0.0010659722222222236,-0.011983796296296298,0.00023148148148148168,-0.032211805555555556,0.006758101851851851,60369.04794996525,41571.704682921016,47925.0,66483.0,0.02246930738939078,65638.27199074074,63133.44097222222,62700.47106481482,60210.87615740741,49671.5162037037
Science-Fiction ,91,80,0.5936332918370977,0.40387693402098523,26.78951098511694,0.17434443656980864,0.23547129695251595,0.12119064493267187,0.002834868887313962,0.1676718639262923,0.19298223279547505,0.01,0.25,0.02799433026222537,0.1562710363153233,0.1450310008857396,0.2677856510186006,0.14477413640389725,0.12415411868910539,1.726378454996458,1.0679706091357042,0.77,2.55,0.024627923458540042,2.530212577502214,1.5986979627989373,0.7928786536758193,1.48066430469442,2.2243401240035428,0.776396172927007,0.7657362194984259,0.26,1.01,0.02923458540042523,0.8803188662533217,0.7918777679362268,0.8247829937998228,0.7055358724534986,0.6752170062001771,2.298063430191357,1.176460519424392,1.4600000000000002,2.96,0.02639971651311127,2.7496634189548277,2.085093002657219,2.3782728077945086,1.9337289636846766,2.3323029229406553,1.6152746279234558,0.7760813284091302,0.98,2.09,0.025336640680368533,2.1201240035429585,1.3727192205491585,1.570132860938884,1.1958990256864483,1.8103277236492472,0.8160542168674713,0.7774307147825938,0.14,1.39,0.027639971651311126,1.2831798051372896,0.9367670504871569,0.23598759964570412,0.6492559787422497,0.9729229406554472,0.3414883061658346,0.4815542976615996,0.02,0.37,0.026222537207654145,0.27597874224977853,0.23657218777679365,0.7700442869796281,0.19523472099202835,0.22728963684676706,0.3191176470588214,0.5702319598351424,0.0,0.39,0.0203756201275691,0.5715677590788307,0.2173959255978742,0.07822852081488042,0.1413374667847653,0.5867227635075288,35.11855067328146,9.636708493247186,31.8,39.8,0.015946137491141033,45.43914968999115,35.06341895482728,36.16811337466785,32.634455270150575,26.122409211691764,-0.06303809355067357,0.1112808571616601,-0.11825,0.02,0.022147413182140325,-0.09809743135518159,-0.047425155004428704,0.04905403011514615,-0.05052967227635075,-0.16819486271036316,-0.03697005669737774,0.041710724053626275,-0.055,-0.014,0.030120481927710843,-0.04378299379982285,-0.04213463241806909,-0.03245792736935341,-0.02502922940655447,-0.04129672276350753,324128.98724082933,192824.68942514437,96503.0,484884.0,0.01789828105617579,84342.40212577503,255885.21966341895,472265.7759078831,491023.4898139947,315198.43401240034
Science-Fiction ,44,86,0.1902224281742354,0.690917516218721,24.07193912842979,0.15794327876412267,0.21397279225270924,0.010375835831219737,0.006225501498731842,0.1135831219737146,0.2466805072702248,0.0,0.13,0.025824302513258013,0.16611751152073734,0.030783410138248847,0.024516129032258065,0.053329493087557606,0.2924769585253456,1.7398754899700246,0.5926779811083983,1.38,1.98,0.03135808162324187,1.6784447004608296,1.4994700460829493,1.6370276497695853,2.083490783410138,1.7869470046082951,0.7533018215356231,0.8730488152655732,0.24,0.9,0.032049804011989855,1.3080990783410138,0.4262211981566821,0.6037903225806452,0.7782718894009216,0.6434216589861751,2.2229536545999493,0.9648664257214332,1.61,2.55,0.029974636845745906,2.499009216589862,1.772983870967742,2.2992165898617514,2.4840668202764977,2.041647465437788,1.527528245330874,0.5420531435404062,1.14,1.7599999999999998,0.03089693336407655,1.3254953917050694,1.3449078341013823,1.8115783410138249,1.8222465437788018,1.3221198156682026,0.48553147336868785,0.45440129296109555,0.17,0.6799999999999999,0.029744062716163245,0.3529953917050691,0.4942972350230415,0.2902304147465438,0.6204032258064516,0.6664976958525345,0.1371869956190905,0.3065243354241731,0.0,0.14,0.026516024902005993,0.22465437788018433,0.04160138248847926,0.030184331797235026,0.05357142857142857,0.3351497695852535,0.2032695411574809,0.4039370469436235,0.0,0.2,0.025824302513258013,0.16336405529953915,0.22841013824884795,0.10836405529953917,0.14786866359447007,0.3672926267281106,8.503712243486316,6.576760954132664,5.0,12.5,0.017754207977864884,4.305184331797235,4.2864055299539165,8.419585253456221,14.437327188940092,11.000230414746545,-0.010827991699331335,0.061537300964626285,-0.029,0.018000000000000002,0.02467143186534471,0.022306451612903223,-0.03089746543778802,0.012231566820276497,-0.01172811059907834,-0.04595391705069123,0.004689647221581731,0.04988044346724475,-0.018000000000000002,0.032,0.029052340327415264,0.012138248847926265,0.016805299539170506,-0.004069124423963134,-0.011631336405529954,0.010080645161290322,46748.5477398524,44702.41581788699,32855.75,44043.75,0.020525830258302583,82330.72350230414,32226.188940092165,35782.41820276498,39290.903225806454,43743.33870967742
Crime,59,80,0.218769422001243,0.44541122850631865,30.445544554455445,0.08312706270627063,0.125,0.11901815181518152,0.0,0.13521864686468424,0.17488052937132417,0.0,0.2,0.026196369636963698,0.33334020618556703,0.16944329896907218,0.05609278350515464,0.08995876288659795,0.026711340206185572,1.918248762376238,0.6550765766138323,1.37,2.4,0.029496699669966996,1.464144329896907,1.4190824742268042,2.349453608247423,1.9675567010309278,2.3793298969072167,0.6443853135313573,0.5681934656140297,0.23,0.8999999999999999,0.030734323432343235,0.9878865979381444,0.8843195876288661,0.46876288659793813,0.5022680412371134,0.3751443298969072,2.506703795379535,0.8358611977797687,1.94,2.8800000000000003,0.030734323432343235,2.5814432989690723,2.6684432989690725,2.5887628865979386,2.259226804123711,2.421298969072165,1.9054929867986783,0.6487240689475335,1.41,2.24,0.030734323432343235,1.7626907216494845,1.667845360824742,2.1619175257731964,1.7674020618556703,2.156680412371134,0.5003919141914202,0.4683251669621393,0.11,0.8400000000000001,0.025783828382838284,0.19382474226804122,0.1680824742268041,0.5674845360824743,0.6361546391752578,0.9335051546391752,0.2602207095709487,0.4809527508538792,0.0,0.24,0.026815181518151814,0.6391546391752577,0.46592783505154645,0.06404123711340205,0.09987628865979381,0.03129896907216495,0.2988572607260716,0.5259412596753712,0.0,0.41,0.021864686468646866,0.34775257731958764,0.1059896907216495,0.1559175257731959,0.2512989690721649,0.6324742268041237,12.510107260726077,5.332393671730974,10.2,15.4,0.019801980198019802,10.739484536082474,10.72721649484536,9.904948453608247,15.790824742268041,15.311546391752579,-0.05552062706270637,0.10841781457151074,-0.087,0.014,0.020008250825082508,-0.020218556701030926,0.016528865979381444,-0.052245360824742265,-0.0528618556701031,-0.16861958762886597,-0.006937087458745851,0.03390854035597241,-0.028,0.015,0.02990924092409241,0.0061958762886597935,-0.00298659793814433,-0.00829896907216495,-0.016440206185567012,-0.013081443298969072,44205.442748091606,38469.83451334945,38575.5,44086.0,0.024757582009490405,55125.78969072165,42200.754639175255,39874.4793814433,39711.7206185567,43806.27628865979
Comedy,45,65,0.3233652312599681,0.3572567783094099,6.789755807027992,0.29263450466547547,0.20031764939448085,0.15624379591026405,0.01647806233869367,0.08009926543577507,0.2543175820878812,0.0,0.0,0.005360333531864205,0.10729166666666667,0.18798611111111113,0.10419642857142859,0.0,0.0,0.45236251737144834,0.44610018884055064,0.18,0.59,0.03057375421878102,0.27247023809523807,0.5884325396825398,0.5873412698412698,0.4419940476190477,0.36882936507936503,0.7556859241612109,0.9654937329461094,0.1,1.1,0.02799285288862418,0.4172718253968254,0.43145833333333333,0.6120138888888889,1.9121031746031747,0.39749007936507935,1.0461425451657762,1.0537470066866037,0.35,1.39,0.028985507246376812,0.9812599206349206,0.9339285714285716,0.810218253968254,2.0039484126984126,0.4902380952380952,0.59798689696248,0.7484233609602071,0.06,0.97,0.029184038117927337,0.35636904761904764,0.512609126984127,0.25220238095238096,1.5582440476190476,0.30200396825396825,0.6218602342664326,0.6350744781932549,0.1,0.87,0.029382568989477865,0.6663789682539683,1.0527976190476191,0.888968253968254,0.04902777777777778,0.44883928571428566,0.6472523327377395,0.4553662414772376,0.33,0.88,0.02997816160412944,0.6837896825396825,0.7521031746031747,0.5638492063492063,0.868263888888889,0.36200396825396824,0.16063728409767622,0.30789603938976406,0.0,0.23,0.01846337105419893,0.17871031746031746,0.29664682539682535,0.24733134920634922,0.005535714285714286,0.07412698412698412,30.464661504864065,7.639183896803884,24.9,34.7,0.023823704586063133,24.319940476190474,24.94255952380952,31.97946428571429,35.88779761904761,34.975793650793655,-0.09889438157633486,0.1278022836708209,-0.159,-0.032,0.020647210641254715,-0.05102678571428572,-0.19213194444444442,-0.03667063492063491,-0.05924702380952381,-0.15458432539682537,-0.03006511812586848,0.06681303659367004,-0.07400000000000001,0.018000000000000002,0.0273972602739726,0.018043650793650796,-0.012247023809523808,-0.03245337301587302,-0.051016865079365085,-0.07244345238095239,112737.6977760127,41185.73327581455,99797.0,126312.75,0.025416997617156472,90538.13988095238,117177.31746031746,107738.8492063492,129365.72519841269,117977.62896825396
Cartoon,46,80,0.20586333261478768,0.3451174822159948,5.793991416309012,0.14420600858369098,0.18562231759656653,0.5523605150214592,0.026394849785407726,0.0009678111587982834,0.011559407958783812,0.0,0.0,0.0012875536480686696,0.004801714898177921,0.0,3.215434083601286e-05,0.0,0.0,0.40843562231759356,0.3314194127520163,0.18000000000000002,0.5700000000000001,0.03347639484978541,0.6552947481243302,0.46488745980707397,0.4998713826366559,0.282486602357985,0.13579849946409434,0.5081051502145905,0.6461081282149593,0.1,0.62,0.030472103004291845,1.4412540192926047,0.5283172561629152,0.1045016077170418,0.22891747052518754,0.2329367631296892,0.8196802575107318,0.756476937140139,0.36,0.95,0.030257510729613735,1.9681672025723476,0.7689281886387996,0.5056484458735263,0.43421221864951776,0.4145123258306537,0.3141523605150195,0.2525333126786584,0.14,0.42,0.03175965665236052,0.4739228295819936,0.20144694533762056,0.434994640943194,0.24584137191854233,0.21178992497320473,0.37971459227467413,0.41162416575433414,0.09,0.53,0.03197424892703862,0.47160771704180066,0.5299464094319399,0.5631296891747052,0.2509860664523044,0.07902465166130761,0.08042489270386231,0.17686494928009291,0.0,0.04,0.015450643776824034,0.2592604501607717,0.03020364415862808,0.11182207931404074,3.215434083601286e-05,3.215434083601286e-05,0.127534334763948,0.27396094146279704,0.0,0.14,0.02682403433476395,0.1660450160771704,0.09732047159699893,0.13418006430868165,0.05158628081457664,0.1872990353697749,69.93266094420612,9.602516628846523,65.5,71.7,0.022317596566523604,78.73654876741693,68.9357984994641,67.86859592711681,65.28231511254019,68.16355841371919,-0.2026341201716735,0.06981543321148932,-0.228,-0.174,0.026609442060085836,-0.1592175777063237,-0.18686173633440512,-0.22357984994640945,-0.21526902465166134,-0.2262079314040729,-0.06499034334763941,0.049189002494444904,-0.09,-0.033,0.028969957081545063,-0.061063236870310816,-0.059594855305466245,-0.06257234726688102,-0.06006859592711683,-0.08093461950696679,126158.36467053015,36901.95182857066,117430.0,129045.5,0.021678471775059025,130670.01394849786,117592.66201716739,127966.41094420601,125527.28755364807,128382.4957081545
