,Column,Score
0,motion_image_high,0.8973852834543173
1,motion_image_low,0.7997038193968032
2,blink_rate,1.1095749546692353
3,lean_forward,4.383550283640268
4,lean_backward,0.2573582257234679
5,head_rotation,9.563586510701407
6,eye_rotation,1.8808882498314803
7,Happiness_Avg,2.9004949119506565
8,Happiness_Std,0.09126460434923465
9,Happiness_25P,7.5228738183160955
10,Happiness_75P,0.8022583100865215
11,Happiness_Peaks,0.5641034536108613
12,Happiness_0,2.2229839986856677
13,Happiness_25,4.337496284585387
14,Happiness_50,3.179704215260717
15,Happiness_75,1.1373203948321968
16,Sadness_Avg,2.456728516704485
17,Sadness_Std,0.3781147477342329
18,Sadness_25P,2.0331827468637407
19,Sadness_75P,2.271658405599426
20,Sadness_Peaks,0.03792006078240094
21,Sadness_0,0.5028687780428627
22,Sadness_25,1.270461501923235
23,Sadness_50,3.687617339382204
24,Sadness_75,4.862942365659756
25,Surprise_Avg,3.9148654581669513
26,Surprise_Std,1.8155578006838464
27,Surprise_25P,2.080741022862561
28,Surprise_75P,3.4970879532597468
29,Surprise_Peaks,0.8401503045317557
30,Surprise_0,0.03547100538734561
31,Surprise_25,1.18543576742749
32,Surprise_50,7.01992137094455
33,Surprise_75,5.042427807631048
34,Fear_Avg,0.9216106886755301
35,Fear_Std,1.982815248230354
36,Fear_25P,0.1008084618407369
37,Fear_75P,1.2023550595323849
38,Fear_Peaks,0.009896099729150858
39,Fear_0,0.044546712639704056
40,Fear_25,0.07088595985235954
41,Fear_50,1.828832781410429
42,Fear_75,2.9547153555604635
43,Anger_Avg,0.0442444656523856
44,Anger_Std,1.4703425164275254
45,Anger_25P,0.00033530131189117113
46,Anger_75P,0.15151615874021537
47,Anger_Peaks,0.09168805715474035
48,Anger_0,0.018149342758632756
49,Anger_25,0.05530156748206097
50,Anger_50,0.24117061837551854
51,Anger_75,0.6685915216586984
52,Disgust_Avg,0.6865319472817318
53,Disgust_Std,1.0008942268952827
54,Disgust_25P,0.5476394970313723
55,Disgust_75P,0.3509142454318254
56,Disgust_Peaks,2.168417716477855
57,Disgust_0,1.925656187720431
58,Disgust_25,0.21686577365403834
59,Disgust_50,0.1523867809493594
60,Disgust_75,0.5229805126442728
61,Contempt_Avg,0.6392271758411026
62,Contempt_Std,0.016032912374672807
63,Contempt_25P,0.5694985835140179
64,Contempt_75P,0.45782196329891023
65,Contempt_Peaks,10.077005516902716
66,Contempt_0,0.739181571436518
67,Contempt_25,1.3075947425661223
68,Contempt_50,0.4442414574966534
69,Contempt_75,0.11496912790122712
70,Blink_Avg,1.7084397562739624
71,Blink_Std,7.19534006649888
72,Blink_25P,
73,Blink_75P,1.1663034218738366
74,Blink_Peaks,0.5200265471210848
75,Blink_0,3.090536479832303
76,Blink_25,0.027897119697700472
77,Blink_50,0.014829003924116681
78,Blink_75,1.0646387095315393
79,HeadPose_X_Avg,2.2829109084374046
80,HeadPose_X_Std,2.2784261829651427
81,HeadPose_X_25P,0.15006661545574493
82,HeadPose_X_75P,1.2245023086084778e-06
83,HeadPose_X_Peaks,1.2704308616896647
84,HeadPose_X_0,2.282888161966278
85,HeadPose_X_25,0.08506875928764558
86,HeadPose_X_50,0.032995855049425246
87,HeadPose_X_75,0.048351317500214264
88,HeadRotation_X_Avg,5.173025380127878
89,HeadRotation_X_Std,0.0649118346552816
90,HeadRotation_X_25P,5.187065884035369
91,HeadRotation_X_75P,6.103550858465393
92,HeadRotation_X_Peaks,0.014940487398414306
93,HeadRotation_X_0,5.600569399315679
94,HeadRotation_X_25,5.669297202455745
95,HeadRotation_X_50,3.235482224607441
96,HeadRotation_X_75,4.733271749271851
97,EyeAngel_X_Avg,1.6562890467637028
98,EyeAngel_X_Std,0.23532683935791462
99,EyeAngel_X_25P,1.5355690528184156
100,EyeAngel_X_75P,1.307219292490697
101,EyeAngel_X_Peaks,2.9192634135754543
102,EyeAngel_X_0,2.2989230007935038
103,EyeAngel_X_25,2.572732673660531
104,EyeAngel_X_50,0.8326975176639055
105,EyeAngel_X_75,0.30009384914443377
106,Motion_image_Avg,1.6064377732378132
107,Motion_image_Std,0.32454884932571504
108,Motion_image_25P,2.4638585147214283
109,Motion_image_75P,0.9278295381523344
110,Motion_image_Peaks,0.10579424836632836
111,Motion_image_0,4.726401488040467
112,Motion_image_25,1.3933122523161883
113,Motion_image_50,0.7108562103063704
114,Motion_image_75,0.5679243997478458
