,Column,Score
0,head_rotation,13.899767622748003
1,Contempt_Peaks,11.167225038225283
2,EyeAngel_X_25,6.348998706971108
3,EyeAngel_X_0,6.036380879281939
4,Sadness_75,5.888073903414295
5,EyeAngel_X_Avg,5.140213121747861
6,Happiness_25P,4.869737506730395
7,Sadness_Std,4.803844208906787
8,Surprise_Avg,4.498486404569919
9,lean_forward,4.454847272533427
10,Fear_Std,4.444838561626967
11,Disgust_Std,4.365932091351162
12,EyeAngel_X_75P,4.3289679207939304
13,Surprise_75,4.101777008087835
14,Surprise_50,3.788602042557615
15,Blink_Std,3.6891679011509155
16,EyeAngel_X_25P,3.687753320607643
17,Sadness_50,3.651704515496169
18,Sadness_Avg,3.5687532389602636
19,Anger_Std,3.565705618519273
20,Disgust_0,3.5052561213489346
21,EyeAngel_X_50,3.3645562611103976
22,Happiness_25,3.161553937701129
23,Surprise_Std,2.834602850075226
24,EyeAngel_X_Std,2.816312676823236
25,Surprise_25,2.7817793266529223
26,Sadness_75P,2.77394963452333
27,eye_rotation,2.600891204364689
28,Surprise_75P,2.568859148807817
29,HeadRotation_X_75P,2.5653896584806577
30,Happiness_50,2.564180968583186
31,Disgust_Avg,2.529193152144628
32,HeadRotation_X_25P,2.512915719893426
33,Surprise_25P,2.4831234694637314
34,Happiness_Avg,2.063706991847693
35,EyeAngel_X_Peaks,2.05497556270157
36,Motion_image_Std,2.016082440616182
37,Disgust_75,1.9860578799760522
38,Disgust_Peaks,1.9678432474986958
39,HeadRotation_X_25,1.9586561919432186
40,HeadRotation_X_Avg,1.928818832531511
41,EyeAngel_X_75,1.9191594509267305
42,Fear_75,1.912286404248155
43,Sadness_0,1.8992671896029902
44,Blink_Peaks,1.8531992230576584
45,HeadRotation_X_50,1.80648455630683
46,Motion_image_Peaks,1.783267440617717
47,lean_backward,1.7594041907175035
48,HeadRotation_X_0,1.6661119067884196
49,Sadness_25,1.6588789135463868
