,0
0,Rating
1,lean_forward
2,head_rotation
3,Happiness_25P
4,Happiness_Peaks
5,Happiness_25
6,Sadness_Std
7,Sadness_75
8,Surprise_Avg
9,Surprise_Std
10,Surprise_25P
11,Surprise_75P
12,Surprise_25
13,Surprise_50
14,Surprise_75
15,Fear_Std
16,Fear_75P
17,Fear_75
18,Anger_Std
19,Disgust_Avg
20,Disgust_Std
21,Disgust_Peaks
22,Disgust_0
23,Disgust_75
24,Contempt_Peaks
25,Blink_Avg
26,Blink_Std
27,Blink_25P
28,Blink_0
29,HeadPose_X_Avg
30,HeadPose_X_Std
31,HeadPose_X_0
32,HeadRotation_X_Avg
33,HeadRotation_X_25P
34,HeadRotation_X_75P
35,HeadRotation_X_0
36,HeadRotation_X_25
37,HeadRotation_X_50
38,HeadRotation_X_75
39,EyeAngel_X_Avg
40,EyeAngel_X_25P
41,EyeAngel_X_75P
42,EyeAngel_X_Peaks
43,EyeAngel_X_0
44,EyeAngel_X_25
45,EyeAngel_X_50
46,Motion_image_Avg
47,Motion_image_25P
48,Motion_image_0
49,Motion_image_25
