,0
0,Rating
1,lean_forward
2,head_rotation
3,Happiness_25P
4,Happiness_Peaks
5,Sadness_Std
6,Sadness_80
7,Surprise_Avg
8,Surprise_Std
9,Surprise_25P
10,Surprise_75P
11,Surprise_40
12,Surprise_60
13,Surprise_80
14,Fear_Std
15,Fear_75P
16,Fear_80
17,Anger_Std
18,Disgust_Avg
19,Disgust_Std
20,Disgust_Peaks
21,Disgust_0
22,Disgust_80
23,Contempt_Peaks
24,Blink_Avg
25,Blink_Std
26,Blink_25P
27,Blink_0
28,Blink_20
29,HeadPose_X_Avg
30,HeadPose_X_Std
31,HeadPose_X_0
32,HeadRotation_X_Avg
33,HeadRotation_X_25P
34,HeadRotation_X_75P
35,HeadRotation_X_0
36,HeadRotation_X_20
37,HeadRotation_X_40
38,HeadRotation_X_60
39,HeadRotation_X_80
40,EyeAngel_X_Avg
41,EyeAngel_X_25P
42,EyeAngel_X_75P
43,EyeAngel_X_Peaks
44,EyeAngel_X_0
45,EyeAngel_X_20
46,EyeAngel_X_40
47,EyeAngel_X_60
48,Motion_image_Avg
49,Motion_image_25P
50,Motion_image_0
51,Motion_image_20
